PK_LOCALIDADE;address_number;city;country;state;zip_code;division;division_name;region_code;region_name;customer_address_1;customer_address_2;customer_address_3;customer_address_4
4f9d6b1a369aac5ace2622e1f01038f38fff73fa29ee4f2d4b6c0b979f155780;10021270;"";"";"";"";1;International;5;International;"";"";"";""
2ec8bd45a27fad39fb04d04b084117d9f7a0cf232cde2e2d2a7489f6b577032f;10007457;"";"";"";"";1;International;5;International;"";"";"";""
72c9fefc6297f5d4ca0e6a076893ccbcad86c001e786356f3808e7342bcf76fa;10026365;"";"";"";"";1;International;5;International;"";"";"";""
caa50f8d19a2798634bbe53d3faa397a92ae4e476721981c395e4da96533745a;10022962;"";"";"";"";1;International;5;International;"";"";"";""
7185ad2f9391f90c8331a397ce38ef08eb50fddc3d4d8a214b6ba25b27e80c2b;10019066;"";"";"";"";1;International;5;International;"";"";"";""
c0fe52e72db120d56d8516a8add6c366a1d958d6203ec9eb655d985e52e67516;10023715;Plainfield;US;IN;46168-0600;2;Domestic;4;Central;Central Division;PO BOX 600;Nao informado;Nao informado
ab8492bc25cbd919abe218a240f50e38f3d3ccf89cbd69dd9167bfa215f8f9fd;10006862;Pearl;US;MS;39209;2;Domestic;2;Southern;4410 Highway 80 East;Nao informado;Nao informado;Nao informado
c5c340aacd52e918cbcfd88d9f779d6c36cae621d402ee624cddedafa8ddac3d;10011623;"";"";"";"";1;International;5;International;"";"";"";""
15fbbf5af67e58d03ed547b4d2ab92b876c4f50b6452734aa3b7959a0beca80b;10023447;Tulsa;US;OK;74115;2;Domestic;2;Southern;Attention:  Accounts Payable;1624 North 71st East Avenue;Nao informado;Nao informado
ccafb664a2f9a847bf0d519943bb551c530c71465a216de9406b86349150fbfd;10002114;"";"";"";"";1;International;5;International;"";"";"";""
2ce4cbaa115c2ac696a1f8a1da3307396143dce6f47d5ee2626b1ec86b15da54;10021300;"";"";"";"";1;International;5;International;"";"";"";""
7a096f42dd2cd3bde4b0b0a19391442369b848fc8bf3c070c50daa84e3025b6b;10025061;Canton;US;OH;44708;2;Domestic;4;Central;PO Box 80509;Nao informado;Nao informado;Nao informado
0c09f66e0c92b910ace54b7c09a092d7fbcbb2c0326fcdfaf2ff184809e2970d;10018628;Tigard;US;OR;97223;2;Domestic;1;Western;12805 SW 77th Place;Nao informado;Nao informado;Nao informado
4b85dc6dd93a861e80297d84bdc7589860d15389cb05b5c6e6a4f015bc62c3dd;10010935;Sioux Center;US;IA;51250;2;Domestic;4;Central;877 1st Avenue NW;Nao informado;Nao informado;Nao informado
b85215fb0a8da7b64b181f7a5efd257b8cf4b13ef7d02879ae481656c6688646;10023759;Birmingham;US;AL;35244;2;Domestic;2;Southern;106 B David Green Road;Nao informado;Nao informado;Nao informado
8f51840a0598cf5d358143231501ac4cba55ebdfa76350fefd9b68db213ce5a7;10013871;"";"";"";"";1;International;5;International;"";"";"";""
49211ce43e17b962ebc1763f5a8d7287da568b2b21579723b7d24dee0ace6a1a;10017314;El Paso;US;TX;79925;2;Domestic;2;Southern;8901 Montana Avenue;Nao informado;Nao informado;Nao informado
